"Asset Amount","Asset Name","Received Date","Date Sold","Proceeds (USD)","Cost Basis (USD)","Gain (USD)","Type"
0.70000000,CRO,01/05/2022,01/05/2022,0.37123450,0.38354750,-0.01231300,Short Term
222.00000000,CRO,01/05/2022,01/05/2022,117.71228100,121.63935000,-3.92706900,Short Term
237.00000000,CRO,01/05/2022,01/05/2022,118.85076000,119.30200800,-0.45124800,Short Term
137.58490278,ANKR,11/04/2021,01/02/2022,14.04426100,18.02125879,-3.97699779,Short Term
0.41509722,ANKR,11/04/2021,01/02/2022,0.04237190,0.05437061,-0.01199871,Short Term
0.41509722,ANKR,11/04/2021,01/02/2022,0.04248755,0.05437061,-0.01188306,Short Term
104.58490278,ANKR,11/25/2021,01/02/2022,10.70485570,13.68963224,-2.98477654,Short Term
1.13872300,ATOM,02/20/2021,05/12/2022,11.11301111,28.39005920,-17.27704809,Long Term
0.36327700,ATOM,02/20/2021,05/12/2022,3.54528831,9.04706351,-5.50177520,Long Term
1.20000000,ATOM,09/28/2021,01/08/2022,41.37210000,42.25395600,-0.88185600,Short Term
0.30000000,ATOM,09/28/2021,05/12/2022,2.92775621,10.56348900,-7.63573279,Short Term
0.00350000,ATOM,01/08/2022,01/08/2022,0.12615849,0.12615849,0.00000000,Short Term
0.00350000,ATOM,01/08/2022,01/08/2022,0.12615849,0.13772115,-0.01156266,Short Term
0.00250000,ATOM,04/14/2022,04/14/2022,0.05964774,0.06661888,-0.00697114,Short Term
0.37261900,ATOM,04/14/2022,04/14/2022,8.83070452,9.92938399,-1.09867947,Short Term
0.00250000,ATOM,05/01/2022,05/12/2022,0.02442381,0.04692240,-0.02249859,Short Term
0.56050000,ATOM,05/01/2022,05/12/2022,5.47002451,10.52000208,-5.04997757,Short Term
1.02941156,MATIC,03/31/2021,01/09/2022,1.83646799,0.68687634,1.14959166,Short Term
4.68534033,MATIC,04/20/2021,01/09/2022,9.36941968,1.56704511,7.80237457,Short Term
21.11908656,MATIC,04/20/2021,01/09/2022,37.67640471,12.69877732,24.97762739,Short Term
2.49017493,MATIC,09/02/2021,01/09/2022,4.44246668,4.06093219,0.38153449,Short Term
10.87237718,MATIC,09/02/2021,09/09/2022,9.61577077,16.43347314,-6.81770237,Long Term
8.00000000,MATIC,09/02/2021,09/09/2022,7.07537688,12.09190805,-5.01653117,Long Term
0.12762282,MATIC,09/02/2021,09/19/2022,0.09738176,0.19290043,-0.09551867,Long Term
9.07237718,MATIC,09/02/2021,09/19/2022,6.92261824,13.71279383,-6.79017559,Long Term
14.00000000,MATIC,09/02/2021,11/10/2022,14.76153177,21.16083909,-6.39930732,Long Term
0.66977242,MATIC,09/02/2021,11/10/2022,0.70620478,1.01235331,-0.30614854,Long Term
1.38260476,MATIC,09/02/2021,11/10/2022,1.45781172,2.08979120,-0.63197948,Long Term
6.92762282,MATIC,09/02/2021,11/10/2022,7.30445174,10.47102227,-3.16657053,Long Term
12.61739524,MATIC,09/02/2021,11/30/2022,11.10662818,19.07104789,-7.96441971,Long Term
16.33022758,MATIC,09/03/2021,08/30/2022,13.40157611,25.25535513,-11.85377902,Short Term
32.09550642,MATIC,09/09/2021,01/09/2022,57.25831398,50.70944887,6.54886511,Short Term
24.95133999,MATIC,09/24/2021,01/09/2022,44.51313653,32.36773332,12.14540321,Short Term
0.46297866,MATIC,09/30/2021,01/09/2022,0.82595293,0.58938065,0.23657228,Short Term
60.00000000,MATIC,10/24/2021,01/09/2022,107.03987012,94.59501960,12.44485052,Short Term
20.04143266,MATIC,10/24/2021,08/30/2022,16.44721629,31.84913376,-15.40191747,Short Term
20.60000000,MATIC,10/24/2021,08/30/2022,16.90561056,32.73678916,-15.83117861,Short Term
27.88840476,MATIC,10/24/2021,08/29/2022,22.40507264,44.57967301,-22.17460037,Short Term
23.41159524,MATIC,10/24/2021,08/30/2022,19.21297629,37.42348368,-18.21050739,Short Term
11.25856734,MATIC,10/24/2021,08/30/2022,9.23946383,17.99684331,-8.75737948,Short Term
17.60000000,MATIC,11/08/2021,01/08/2022,33.61078160,33.33119396,0.27958764,Short Term
4.20000000,MATIC,11/11/2021,01/08/2022,8.02075470,7.35944580,0.66130890,Short Term
9.30000000,MATIC,11/11/2021,04/09/2022,13.51779366,16.29591570,-2.77812204,Short Term
2.77000000,MATIC,11/19/2021,08/29/2022,2.24791346,4.45600092,-2.20808746,Short Term
6.00000000,MATIC,11/19/2021,08/29/2022,4.86912663,9.65198755,-4.78286092,Short Term
3.23000000,MATIC,11/19/2021,08/29/2022,2.59492736,5.19598663,-2.60105927,Short Term
1.22237718,MATIC,11/19/2021,08/30/2022,1.00315692,1.88424797,-0.88109105,Short Term
10.97762282,MATIC,11/19/2021,09/09/2022,9.70885234,16.92158843,-7.21273608,Short Term
7.50000000,MATIC,11/26/2021,04/09/2022,10.90144650,12.64980892,-1.74836242,Short Term
7.00000000,MATIC,11/26/2021,04/09/2022,10.17468340,11.80648832,-1.63180492,Short Term
7.11692732,MATIC,11/26/2021,08/29/2022,5.77553672,12.00370276,-6.22816604,Short Term
0.18307268,MATIC,11/28/2021,08/29/2022,0.14856734,0.30763875,-0.15907140,Short Term
7.00000000,MATIC,11/28/2021,08/29/2022,5.68064773,11.76293062,-6.08228289,Short Term
0.89312712,MATIC,01/01/2022,01/17/2022,1.99339453,2.29894065,-0.30554613,Short Term
0.89312712,MATIC,01/08/2022,01/17/2022,1.99339453,1.78176517,0.21162936,Short Term
0.89312712,MATIC,01/15/2022,01/17/2022,1.99339453,2.10027582,-0.10688129,Short Term
0.77061864,MATIC,01/17/2022,01/17/2022,1.71996454,0.00000000,1.71996454,Short Term
6.84248170,MATIC,04/03/2022,08/29/2022,5.55281831,11.27281891,-5.72000060,Short Term
7.75751830,MATIC,04/03/2022,08/29/2022,6.29538982,12.78031901,-6.48492920,Short Term
16.78260476,MATIC,04/07/2022,11/30/2022,14.77310866,25.03696109,-10.26385242,Short Term
0.21739524,MATIC,04/07/2022,12/30/2022,0.15830455,0.32431891,-0.16601436,Short Term
1.00000000,MATIC,04/07/2022,11/30/2022,0.88026316,1.49184000,-0.61157684,Short Term
10.20000000,MATIC,04/07/2022,12/30/2022,7.42751503,15.11395200,-7.68643697,Short Term
15.57350794,MATIC,04/09/2022,12/30/2022,11.34043767,23.04957043,-11.70913275,Short Term
1.39922410,MATIC,04/09/2022,12/30/2022,1.07687138,2.07092163,-0.99405025,Short Term
1.27945188,MATIC,07/17/2022,07/17/2022,1.23441397,1.23441397,0.00000000,Short Term
0.16350000,ONE,10/21/2021,01/04/2022,0.04998100,0.03991757,0.01006343,Short Term
0.16520000,ONE,10/21/2021,01/04/2022,0.05002202,0.04033261,0.00968941,Short Term
0.00018250,ONE,01/02/2022,01/02/2022,0.00005342,0.00000000,0.00005342,Short Term
0.00018250,ONE,01/02/2022,01/02/2022,0.00005342,0.00000000,0.00005342,Short Term
0.00018250,ONE,01/02/2022,01/02/2022,0.00005342,0.00000000,0.00005342,Short Term
0.00018250,ONE,01/02/2022,01/02/2022,0.00005342,0.00000000,0.00005342,Short Term
0.16350000,ONE,01/04/2022,01/04/2022,0.05003100,0.05003100,0.00000000,Short Term
163.33650000,ONE,01/04/2022,01/04/2022,49.93101900,50.03100000,-0.09998100,Short Term
0.16520000,ONE,01/04/2022,01/04/2022,0.05003908,0.05003908,0.00000000,Short Term
165.03480000,ONE,01/04/2022,01/04/2022,49.97199798,50.03908000,-0.06708202,Short Term
0.00624492,ONE,01/08/2022,01/08/2022,0.00192500,0.00198047,-0.00005547,Short Term
0.00624492,ONE,01/08/2022,01/08/2022,0.00192500,0.00198047,-0.00005547,Short Term
98.00000000,ONE,01/08/2022,01/08/2022,30.20560175,31.07896273,-0.87336098,Short Term
0.00474882,ONE,01/08/2022,01/08/2022,0.00146383,0.00150600,-0.00004218,Short Term
0.00474882,ONE,01/08/2022,01/08/2022,0.00146383,0.00150600,-0.00004218,Short Term
26.97801252,ONE,01/08/2022,01/08/2022,8.31481428,8.55559843,-0.24078414,Short Term
0.00080000,ONE,01/08/2022,01/08/2022,0.00024660,0.00000000,0.00024660,Short Term
0.00685014,ONE,01/08/2022,01/08/2022,0.00211156,0.00217209,-0.00006054,Short Term
0.00685014,ONE,01/08/2022,01/08/2022,0.00211156,0.00217209,-0.00006054,Short Term
70.71893189,ONE,01/08/2022,01/08/2022,21.79607503,22.42409961,-0.62802459,Short Term
0.00146766,ONE,01/08/2022,01/08/2022,0.00045241,0.00046538,-0.00001297,Short Term
0.00146766,ONE,01/08/2022,01/08/2022,0.00045241,0.00046538,-0.00001297,Short Term
32.26443251,ONE,01/08/2022,01/08/2022,9.94311981,10.23065294,-0.28753313,Short Term
0.00080000,ONE,01/08/2022,01/08/2022,0.00024660,0.00000000,0.00024660,Short Term
49.99920000,ONE,01/08/2022,01/08/2022,15.41202180,15.90593139,-0.49390959,Short Term
0.00080000,ONE,01/08/2022,01/08/2022,0.00024660,0.00025450,-0.00000790,Short Term
108.00000000,ONE,01/08/2022,01/08/2022,33.29084998,34.35736151,-1.06651153,Short Term
0.00080000,ONE,01/08/2022,01/08/2022,0.00024660,0.00025439,-0.00000779,Short Term
37.99920000,ONE,01/08/2022,01/08/2022,11.71320062,12.08325701,-0.37005639,Short Term
0.00225000,ONE,01/08/2022,01/08/2022,0.00069356,0.00069356,0.00000000,Short Term
0.00603585,ONE,01/08/2022,01/08/2022,0.00186055,0.00186064,-0.00000008,Short Term
17.73556749,ONE,01/08/2022,01/08/2022,5.46567408,5.46724003,-0.00156595,Short Term
0.00603585,ONE,01/08/2022,01/08/2022,0.00186055,0.00186064,-0.00000008,Short Term
0.00146886,ONE,01/08/2022,01/08/2022,0.00045278,0.00045280,-0.00000002,Short Term
0.00146886,ONE,01/08/2022,01/08/2022,0.00045278,0.00045280,-0.00000002,Short Term
0.00127672,ONE,01/08/2022,01/08/2022,0.00039355,0.00039357,-0.00000002,Short Term
